"Cabinet","Raison sociale","Type","Ville","Dépt","Effectif","Priorité","Clientèle affichée","Contact à joindre","Fonction","Téléphone","Email","Site","SIREN","Réseau","Source contact","Preuve clientèle","Notes"
"ACG Avocats & Associés","ACG & ASSOCIES","avocats","Châlons-en-Champagne","51","20-49","A","La rubrique « Pour les professionnels » de la page d'accueil cible explicitement « Droit rural - Exploitants Agricoles et Viticoles » et « Droit rural - Propriétaires de terres/vignes/forêt », plus le « Droit social des employeurs » et le droit public ; le « Droit de la construction » figure côté particuliers.","Aurore Van Hove","Présidente et directrice de la publication (présidente selon le registre)","03 26 69 32 42 (Châlons-en-Champagne)","chalons@acg-avocat.com","https://www.acg-avocat.com/","333997823","","https://www.acg-avocat.com/mentions-legales.html","https://www.acg-avocat.com/",""
"SJFC","SOCIETE JURIDIQUE ET FISCALE DE CHAMPAGNE (SJFC)","avocats","Châlons-en-Champagne","51","3-5","B","Le site indique assurer le service « des entreprises et des particuliers » en droit des sociétés, droit fiscal, prévention des difficultés, droit commercial et des contrats, droit social et judiciaire, sans nommer aucun secteur.","Hervé Antoine","Avocat spécialiste en droit des sociétés ; gérant selon le registre, a repris SJFC en septembre 2010","03 26 87 88 85","herve.antoine@sjfc-avocats.fr","https://sjfc.fr/","335581302","","https://sjfc.fr/contact/","https://sjfc.fr/",""
"Groupe Rocard, membre du reseau Crowe","ROCARD (FIDUCIAIRE COMPTABLE BOURGUIGNONNE, FICOMPTA)","experts-comptables","Bourbonne-les-Bains","52","100-199","B","Non verifiable : le site officiel renvoie une erreur HTTP 403 sur www.crowe-rocard.fr comme sur www.crowe.com/fr/rocard et n'a pas pu etre lu ; aucune clientele sectorielle n'apparait dans les pages indexees, qui parlent d'expertise comptable, d'audit et de gestion de patrimoine.","non trouvé","non trouve (aucun nom d'expert-comptable inscrit affiche sur la fiche de l'annuaire de l'Ordre ; le site n'a pas pu etre lu)","03 25 90 01 33 (bureau de Bourbonne-les-Bains)","non trouvé","https://www.crowe-rocard.fr","389134552","Crowe Global","https://annuaire.experts-comptables.org/expert-comptable/4916-rocard-bourbonne-les-bains-52400","https://www.crowe.com/fr/rocard","Site Crowe Rocard illisible en automatique (403) : clientèle non vérifiée. 160 collaborateurs, 11 bureaux, réseau Crowe."
"Yzico","YZICO","experts-comptables","Villers-lès-Nancy","54","250-499","B","La page Secteurs d'activité liste onze secteurs clients (agriculture, pharmacie, professionnels de santé, association et ESS, TPE, commerçants, start-up, secteur public, groupe, grande distribution, société étrangère) sans aucune mention d'industrie, de BTP, de transport ni de logistique.","Valérie Creusot-Rivière","Directrice générale selon le registre","03 83 27 08 00","communication@yzico.fr","https://www.yzico.fr/","790659098","","https://annuaire.experts-comptables.org/expert-comptable/36585-yzico-villers-les-nancy-54603","https://www.yzico.fr/secteurs-dactivite/",""
"CPA","C.P.A.","experts-comptables","Herserange (Longwy)","54","50-99","B","Le site ne précise pas sa clientèle par secteur : il indique seulement accompagner depuis 1920 les entreprises de son territoire et les associations, sans aucun secteur industriel, BTP, transport ou logistique.","Sylvain Adam","Associé-président","03 82 25 94 70","non trouvé","https://www.cpalec.com/","444594162","","https://www.cpalec.com/notre-cabinet/nos-equipes","https://www.cpalec.com/notre-cabinet/presentation-du-cabinet",""
"SECEF","SECEF","experts-comptables","Nancy","54","50-99","A","Le site consacre des rubriques sectorielles à l'Industrie, au BTP et Immobilier et au Transport et Logistique, aux côtés de TPE PME PMI, profession libérale, biens de consommation et distribution, hôtellerie et restauration, location meublée, secteur associatif, secteur public et secteur sanitaire et médico-social.","Alain Migot et Olivier Dietsch","Membres du comité de direction, experts-comptables et commissaires aux comptes basés à Nancy (directeurs généraux au registre)","03 83 98 65 25","secef@secef.fr","https://www.secef.fr/","759800451","Membre des réseaux ABSOLUCE et INAA","https://www.secef.fr/nous-connaitre/nos-associes","https://www.secef.fr/secteurs-dactivites",""
"Socomex Noirclère & Associés","SOCOMEX-NOIRCLERE ET ASSOCIES","experts-comptables","Nancy","54","20-49","A","La page Qui sommes-nous affiche l'industrie parmi les secteurs de clientèle du cabinet, aux côtés du commerce, des sociétés cotées, des professions libérales, des associations sportives et des start-up.","Olivier Noirclère","Président","03 83 98 14 40","contact@socomex-noirclere.com","https://www.socomex-noirclere.com/","380234351","","https://www.socomex-noirclere.com/mentions-legales-et-rgpd","https://www.socomex-noirclere.com/notre-cabinet/qui-sommes-nous",""
"Filor Avocats","FILOR AVOCATS","avocats","Villers-lès-Nancy","54","20-49","B","Le site s'adresse aux entreprises et aux dirigeants d'entreprises, au niveau regional, national et international, sans nommer de secteur ; cinq domaines affiches : droit du travail et protection sociale, droit des societes et commercial, contentieux, fiscal, penal.","Sophie Duminil","Avocate associee, specialiste en droit du travail et droit de la securite sociale (gerante selon le registre)","+33 3 83 92 31 00","contact@filor-avocats.com","https://www.filor-avocats.com/","370800575","4 bureaux","https://www.filor-avocats.com/contact/","https://www.filor-avocats.com/",""
"SCP Mallet & Nourdin, Avocats Associes","MALLET & NOURDIN, AVOCATS ASSOCIES","avocats","Val de Briey","54","6-9","B","Le site affiche trois poles, ""Construction et droit civil et commercial"", ""Divorce et droit de la famille et de l'enfant"" et ""Accident de la route et droit penal"", et dit agir ""dans l'interet des particuliers et des entreprises"" sans preciser de secteur ; la page competences decrit le droit de la construction (maitre d'ouvrage, architecte, maitre d'oeuvre, entreprises de construction, sous-traitants, assureurs) mais aucune clientele industrielle n'est revendiquee.","Éric Mallet","Avocat associe, avocat fondateur du cabinet (serment 1984), gerant selon le registre","03 82 46 29 90","avocats@malletnourdin.fr","https://www.scp-mallet-nourdin.fr/","345228704","Un seul bureau","https://www.scp-mallet-nourdin.fr/","https://www.scp-mallet-nourdin.fr/",""
"Fidurex","FIDUREX","experts-comptables","Bar-le-Duc","55","20-49","B","Site non consultable : https://www.fidurex.fr/ et https://fidurex.fr/ repondent avec un certificat HTTPS invalide, la clientele affichee n'a donc pas pu etre verifiee.","Francois Petitjean","President au registre, expert-comptable inscrit a l'Ordre depuis 1993","03 29 79 04 42","non trouvé","https://www.fidurex.fr/","330252693","","https://annuaire.experts-comptables.org/expert-comptable/12990-fidurex-bar-le-duc-55000","non trouvé","Site fidurex.fr inaccessible (certificat invalide) : clientèle non vérifiée, 5 bureaux."
"Sofico France","SOFICO FRANCE","experts-comptables","Rombas","57","100-199","A","Le site affiche une clientèle de plus de 1500 chefs d'entreprises dans différents secteurs, dont explicitement des « entreprises industrielles », aux côtés d'artisans, commerçants, professions libérales médicales, prestataires de service, pharmacies et associations.","Olivier Cretin","Président du directoire (registre des dirigeants) ; expert-comptable du cabinet","03 87 67 18 42 (siège Rombas)","o.cretin@sofico-longwy.com","https://www.soficofrance.com","786080176","","https://www.soficofrance.com/le-cabinet/presentation","https://www.soficofrance.com/le-cabinet/presentation/vous-ecouter-vous-conseiller-vous-accompagner",""
"LORGEC","LORGEC","experts-comptables","Metz","57","50-99","A","Le site consacre une page secteur dédiée aux « Artisans & BTP » (« Construisez une gestion solide et gagnez en sérénité »), aux côtés de TPE & PME, groupes & filiales, commerçants & restaurateurs, professions libérales, start-ups, associations, particuliers et micro-entrepreneurs ; en revanche il ne mentionne ni industrie, ni transport, ni logistique, ni agroalimentaire.","Arnaud Bernard","Associé (repreneur du cabinet en 2011 selon la page À propos) ; gérant selon le registre","03 87 66 77 33","non trouvé","https://lorgec.fr","914751748","TYLS Conseil","https://lorgec.fr/a-propos/","https://lorgec.fr/secteurs-professionnels/artisans-btp/",""
"Sologest (Groupe Sologest)","SOLOGEST AUDIT ET CONSEIL","experts-comptables","Saint-Julien-lès-Metz","57","50-99","B","Le site cible « les TPE et PME du Grand Est » et les « dirigeants de Moselle et du Grand Est » sans nommer aucun secteur industriel, BTP, transport, logistique ou production.","Michael Cristiano","Directeur général selon le registre des dirigeants ; non affiché sur le site (le site indique seulement « des associés impliqués sur le terrain », sans aucun nom)","03 87 75 86 86 (agence Metz / Saint-Julien-lès-Metz)","non trouvé","https://www.sologest.fr","329879712","","https://www.sologest.fr","https://www.sologest.fr/legroupe",""
"Erbrech-Muller","CABINET ERBRECH MULLER","experts-comptables","Yutz","57","20-49","A","La page « Notre cabinet » liste explicitement des « industriels » parmi sa clientèle, avec commerçants, artisans, TPE de services, exploitants agricoles, associations et professions libérales.","Gérald Erbrech","Président fondateur (page équipe du site) ; gérant selon le registre","03 82 53 83 58 (bureau de Yutz)","non trouvé","https://www.erbrech-muller.fr","383419363","","https://www.erbrech-muller.fr/notre-cabinet/notre-equipe","https://www.erbrech-muller.fr/notre-cabinet",""
"FIBA (Groupe FIBA)","FIBA - MOSELLE","experts-comptables","Metz","57","20-49","A","La page du bureau de Metz affiche une clientèle « commerce, industrie, immobilier, services à la personne, professions libérales, secteur associatif », et le menu secteurs du groupe ajoute artisanat, bâtiment, hôtel / café / restaurant et réseaux de franchise.","Martin Feuchter","Expert-comptable, commissaire aux comptes, directeur général (tel qu'affiché sur la page du bureau de Metz)","03 87 36 85 41 (Metz, 1 rue de Sarre) ; second numéro publié 03 87 18 35 45","non trouvé","https://www.groupe-fiba.fr","305273203","Groupe FIBA","https://www.groupe-fiba.fr/votre-bureau-fiba-metz/","https://www.groupe-fiba.fr/votre-bureau-fiba-metz/","Le registre donne Eric Estreich-Bousser comme DG, la page Metz affiche Martin Feuchter."
"Groupe FIBA","FIBA","experts-comptables","Schiltigheim","67","100-199","A","Le site publie une page secteur dédiée aux PME/PMI et liste le bâtiment parmi ses secteurs d'activité, a côté du commerce, de l'artisanat, des professions libérales, de l'hôtellerie restauration, du secteur public et de l'agriculture viticulture.","Hervé Wentzinger","Représentant légal indique dans les mentions légales du site (cité avec Céline Leininger)","03 88 18 59 59","contact@groupe-fiba.fr","https://www.groupe-fiba.fr/","698501442","","https://www.groupe-fiba.fr/mentions-legales/","https://www.groupe-fiba.fr/votre-secteur-dactivite/pme-pmi/","Le registre cite Frédéric Wagner (DG), le site nomme Hervé Wentzinger et Céline Leininger."
"SECAL","SOCIETE D'ETUDES COMPTABLES D'ALSACE ET DE LORRAINE","experts-comptables","Strasbourg","67","100-199","A","La page du bureau de Strasbourg affiche des secteurs de clientèle incluant l'immobilier, le BTP, les holdings, les entreprises étrangères et les associations ; la page d'accueil met par ailleurs en avant le monde agricole et la distribution pétrolière.","Jean-Luc Mohr","Président du directoire, expert-comptable associé et commissaire aux comptes","03 88 27 99 99","contact@secal.fr","https://www.secal.fr/","638501130","DFK International","https://www.secal.fr/cabinet/bureaux/secal-strasbourg","https://www.secal.fr/cabinet/bureaux/secal-strasbourg",""
"FIDUCIAIRE DU BAS-RHIN","FIDUCIAIRE DU BAS-RHIN","experts-comptables","Strasbourg","67","50-99","A","La page nous connaître cite le secteur du bâtiment parmi les clientèles servies et présente l'associé Yusuf Cini comme accompagnant des grandes enseignes de la distribution, des franchisés et des entreprises du secteur du bâtiment ; le reste du site parle surtout de TPE, PME et professions libérales.","Yusuf Cini","Expert-comptable et commissaire aux comptes associé (site) ; cogérant selon le registre, avec Michel Weber","03 88 65 69 00","contact@fiduest.fr","https://www.fiduest.fr/","578502445","","http://www.fiduest.fr/mentions-legales","https://www.fiduest.fr/nous-connaitre","Viser Yusuf Cini (bâtiment et distribution), pas Michel Weber (audit)."
"L ALSACE ECONOMIQUE (HANS & ASSOCIES - ALSEC) (ALSEC)","L'ALSACE ECONOMIQUE (ALSEC)","experts-comptables","Strasbourg","67","50-99","A","Le site du groupe publie une page dédiée a l'expertise comptable pour le secteur industriel et liste le bâtiment et les travaux publics, l'agriculture et la viticulture, l'artisanat et le commerce parmi ses secteurs ; la page du bureau de Strasbourg met en revanche en avant les professions de santé et les professions libérales.","Frédéric Stutzmann","Président (registre) et responsable du bureau Alsec Strasbourg (site)","03 88 32 50 01","alsec@hans-associes.fr","https://hans-associes.fr/","558502522","Groupe Hans & Associés","https://www.hans-associes.fr/expert-comptable-strasbourg-cabinet-expertise-comptable/","https://hans-associes.fr/activite/industrie/","Le groupe affiche l'industrie et le BTP, le bureau de Strasbourg est orienté santé et professions libérales."
"Talenz MGA","TALENZ MGA","experts-comptables","Zellwiller","67","50-99","A","La page du cabinet affiche des compétences reconnues en BTP et industrie, agroalimentaire, transport et logistique, immobilier et services financiers, auprès d'une clientèle de PME et ETI.","Michel Gable","Président et associé fondateur","03 88 58 52 52","non trouvé","https://www.talenz.fr/talenz-mga/","401585302","Talenz","https://www.talenz.fr/talenz-mga/bureaux/zellwiller/","https://www.talenz.fr/talenz-mga/",""
"WEMA STBG (WEMA)","WEMA STBG","experts-comptables","Strasbourg","67","50-99","A","La page du cabinet de Strasbourg liste explicitement le BTP, l'industrie, les PME-PMI et la grande distribution parmi ses secteurs de clientèle, à côté de l'immobilier, du médical, de l'agriculture, de l'artisanat, des commerces de proximité, de la pharmacie et des professions libérales.","Hervé Gillard","Directeur général de WEMA STBG et membre du directoire de WeMa International Groupe","03 88 30 12 21","non trouvé","https://www.wema.fr/cabinets/strasbourg/","558502654","WeMa","https://www.societe.com/societe/wema-stbg-558502654.html","https://www.wema.fr/cabinets/strasbourg/","Aucun expert-comptable responsable du bureau de Strasbourg publié ; mentions légales au nom du groupe."
"Adexia (Groupe Adexia)","ADEXIA EXPERTISE","experts-comptables","Haguenau","67","20-49","A","Le site publie une page métier dédiée a l'industrie et liste l'industrie parmi ses clientèles cibles, à côté des professions médicales et paramédicales, des artisans, des professions immobilières, des taxis et des créateurs d'entreprise.","Olivier Klein","Président (registre) et expert-comptable du cabinet (annuaire de l'Ordre)","03 88 06 10 50","non trouvé","https://www.groupe-adexia.com/","493755193","","https://annuaire.experts-comptables.org/expert-comptable/22910-adexia-expertise-haguenau-67500","https://www.groupe-adexia.com/metier-industrie/",""
"Horizon EC (membre fondateur de Galini Conseil)","HORIZON EC","experts-comptables","Obernai","67","20-49","A","La page du bureau d'Obernai cible explicitement l'activité viticole, le tourisme et l'industrie agroalimentaire, en plus des entreprises, artisans, commerçants et professions libérales du secteur d'Obernai et du piémont alsacien.","Frédéric Fischer","Gérant (registre) et expert-comptable du cabinet (annuaire de l'Ordre)","03 67 29 20 40","non trouvé","https://www.galini.fr/fr/cabinet/nos-bureaux/horizon-ec-obernai","817877491","Galini Conseil","https://annuaire.experts-comptables.org/expert-comptable/22784-horizon-ec-obernai-67210","https://www.galini.fr/fr/cabinet/nos-bureaux/horizon-ec-obernai","Pas de site propre (fiche sur galini.fr) ; le site nomme Bernard Perrier pour Obernai, l'Ordre cite Frédéric Fischer."
"Valoris Avocats","VALORIS AVOCATS","avocats","Schiltigheim","67","6-9","A","Le site affiche explicitement une clientèle de « particuliers, fonds d'investissement et entreprises des secteurs industriels, de l'immobilier, et des services », accompagnée en France, en Allemagne et à l'international depuis 2014.","non trouvé","non trouvé","03 90 41 33 13","info@valoris-avocats.com","https://www.valoris-avocats.com","802627059","4 bureaux","https://www.valoris-avocats.com","https://www.valoris-avocats.com","Aucun nom d'associé confirmé (page équipe en timeout) : demander l'associé dirigeant au standard. 20 avocats, 4 bureaux."
"Groupe Cofime (HLB Groupe Cofime)","COFIME","experts-comptables","Colmar","68","100-199","A","Le site a une page dediee au secteur transport et logistique : il annonce accompagner le transport urbain et interurbain, la logistique, le demenagement et les transports speciaux (oeuvres d'art, convois exceptionnels), avec audit, negociation de contrats et controle interne.","Philippe Lamberger","President du conseil d'administration","03 89 22 99 00","non trouvé","https://www.hlb-groupecofime.com/","404137473","Membre de HLB International","https://www.hlb-groupecofime.com/","https://www.hlb-groupecofime.com/votre-activite/transport/","Trois entités homonymes à l'Ordre (COFIME, COFIME AUDIT, GROUPE COFIME) : confirmer laquelle porte la clientèle transport et logistique."
"Wagner & Associés","WAGNER & ASSOCIES","experts-comptables","Colmar","68","50-99","B","Le site affiche comme clientele les artisans, commercants, createurs et repreneurs d'entreprise, professionnels liberaux, viticulteurs et agriculteurs ; aucun secteur industriel, BTP, transport ou logistique n'est mentionne.","Filipe Da Silva","Expert-comptable et commissaire aux comptes, directeur de la publication du site","03 89 21 20 00","contact@wagnerassocies.fr","https://wagnerassocies.fr/","401013099","","https://wagnerassocies.fr/mentions-legales/","https://wagnerassocies.fr/notre-equipe/",""
"KSCA Experts Comptables Associés","KSCA","experts-comptables","Mulhouse","68","20-49","A","La page Votre activite affiche huit clienteles dont Batiments - BTP (votre metier consiste en la construction, la rehabilitation, la maintenance ou encore la renovation de batiments) et Industries (acteurs majeurs de l'economie et de l'emploi en France, vous pratiquez une activite de production de biens), a cote des artisans, commercants, restaurateurs, professions liberales, associations et agriculteurs.","Vincent Cacheur","Gérant, expert-comptable associé","03 89 64 40 00","accueil@ksca.fr","https://ksca.fr/","350116125","","https://ksca.fr/fr","https://ksca.fr/page/votre-activite/fr","Trois enseignes coexistent (KSCA Mulhouse et Strasbourg, Cabinet Vincent Cacheur, JMK) : vérifier l'entité."
"SFW Expertise","SFW EXPERTISE, SOCIETE CIVILE D'EXPERTS-COMPTABLES","experts-comptables","Mulhouse","68","20-49","A","La page cabinet annonce s'adresser a une diversite de secteurs d'activite et liste des pages sectorielles dediees dont PME/PMI et Batiment/BTP, a cote de la grande distribution, des commercants, artisans et services, des professions liberales, de l'immobilier et du secteur associatif.","Sandro Cipriano","Gérant, expert-comptable associé","03 89 42 40 16","info@sfw-consultants.fr","https://sfw-consultants.fr/","384169116","","https://sfw-consultants.fr/cabinet-comptable-mulhouse/","https://sfw-consultants.fr/cabinet-comptable-mulhouse/",""
"Batt","BATT & ASSOCIES","experts-comptables","Neufchâteau","88","250-499","B","La page Missions et expertises liste des profils de clients par taille et par statut (start-up, PME et groupes de PME, entreprise de taille intermédiaire, artisan, commerçant, agricole, profession libérale, holding patrimonial, groupe familial, coopérative, secteur non marchand, société internationale, particulier) sans citer l'industrie, le BTP, le transport ni la logistique ; la seule expertise sectorielle affichée est l'économie agricole.","Nathalie Lefebvre-Batt","Directrice générale selon le registre","03 29 950 950","neufchateau@batt.eu","https://www.batt.eu/","328045711","","https://www.batt.eu/contact/","https://www.batt.eu/missions-expertises","Siège Nancy 03 83 44 80 80. Le site annonce 15 bureaux."
"Ec'Lor","EC'LOR EXPERTISE COMPTABLE","experts-comptables","Épinal","88","10-19","A","Le site affiche quatre clientèles cibles, dont les artisans du BTP et les professionnels du bois, de l'acier et du fil, à côté des métiers de bouche et des professionnels de la santé.","Vincent Gouyon","Expert-comptable diplômé, co-gérant","03 29 35 06 90","epinal@eclor-ec.fr","https://www.eclor.info/","525350922","","https://www.eclor.info/votre-agence/","https://www.eclor.info/votre-agence/",""
